Loop_time_sec, CPU_u
0.00435329,nan
0.00435583,nan
0.00437646,100
0.00431008,nan
0.004349,100
0.00437437,nan
0.00434171,nan
0.00436071,nan
0.00436558,100
0.00436042,nan
0.00436646,nan
0.00436271,100
0.00435442,100
0.004363,nan
0.00436296,100
0.00436858,nan
0.00437875,nan
0.00435479,nan
0.00432271,100
0.00430475,nan
0.00436113,nan
0.00439642,100
0.00433242,100
0.00436717,nan
0.00434729,nan
0.00447558,nan
0.00427571,100
0.00430621,nan
0.00433475,nan
0.00436338,100
0.00433733,100
0.00438975,nan
0.00432554,nan
0.00435638,nan
0.00436008,nan
0.00437771,nan
0.00436762,100
0.00435054,nan
0.00436833,100
0.0043615,nan
0.00435954,100
0.00434942,nan
0.00436963,nan
0.00436158,nan
0.00435817,nan
0.00446292,100
0.00423825,100
0.00435921,100
0.0043585,nan
0.00435896,nan
0.0043625,100
0.00436779,nan
0.00435771,100
0.00435,nan
0.00436392,nan
0.00439187,100
0.00432892,nan
0.00444754,100
0.00427996,100
0.00434896,nan
0.00436708,nan
0.0043945,nan
0.00434467,100
0.00444429,nan
0.00397379,nan
0.00437517,nan
0.00423296,100
0.00436008,50
0.00434121,nan
0.00439017,nan
0.00439154,nan
0.00422042,nan
0.00434383,0
0.00426446,nan
0.00439404,100
0.00421613,nan
0.00430288,0
0.00430117,nan
0.00439129,nan
0.004221,0
0.004301,nan
0.0043045,nan
0.00441558,nan
0.00419837,0
0.00430375,nan
0.0043035,nan
0.00442071,100
0.00419837,0
0.00430213,nan
0.00430208,nan
0.00439262,0
0.00421917,nan
0.00434171,nan
0.00426508,nan
0.00439012,50
0.0042135,nan
0.0042995,nan
0.00425933,0
0.0043925,nan
0.00422038,nan
0.00430325,nan
0.00430533,0
0.00441204,nan
0.00419996,nan
0.00430137,nan
0.00430188,0
0.00439512,100
0.00421237,nan
0.00430263,0
0.00430367,nan
0.00439138,nan
0.00421854,nan
0.00434329,0
0.00426129,nan
0.00439133,100
0.00421525,nan
0.00430271,0
0.00430104,nan
0.00439038,nan
0.00422196,0
0.00430167,nan
0.00430046,nan
0.00441808,100
0.00418929,0
0.00430067,nan
0.00430204,nan
0.00439383,0
0.00421925,nan
0.0043025,nan
0.00430508,nan
0.00439317,50
0.00421004,nan
0.00434613,nan
0.00426004,0
0.00439175,nan
0.00421925,nan
0.00430275,nan
0.00430054,0
0.00434567,100
0.00421496,nan
0.0043025,nan
0.00430196,0
0.00439221,nan
0.00422275,nan
0.00430342,nan
0.00430271,0
0.00439129,nan
0.00422308,nan
0.00430337,0
0.00428121,nan
0.00442663,100
0.00418817,nan
0.00439275,nan
0.00426638,100
0.00438808,nan
0.00444179,nan
0.00424721,nan
0.00436471,nan
0.00436113,100
0.00435429,nan
0.00436863,nan
0.00433858,100
0.00428021,nan
0.00438192,nan
0.00433354,100
0.00435517,nan
0.00436737,100
0.00439771,nan
0.00429096,100
0.00437421,nan
0.00432425,100
0.00435913,nan
0.00435525,nan
0.00436779,nan
0.00432892,100
0.0043575,nan
0.004359,100
0.00436683,100
0.004351,nan
0.00431763,nan
0.00435633,0
0.00437063,nan
0.00436504,100
0.00435846,nan
0.004367,100
0.00436258,nan
0.00442546,100
0.00428429,100
0.00435846,nan
0.00437408,nan
